Age,Gender,Location,Season_Preference,Season_Food_Preference,Mood_Preference,Mood_Food_Preference,Allergies,Allgery_restriction,Diet_Preference,Smell_Preference,Smell_restriction,Cuisine_Fav,Spice_Pref,Has_Food_Allergies,Mood_Spice_preference
18-24,Woman,South India,Winter,chicken biryani,Relaxed,fruit salad,No,,Ovo-Vegetarians(Egg + Veg),No,,"biryani, cakes, fruit",medium spicy,0,fruit salad - Medium-spicy
25-34,Man,South India,Winter,soups,Stressed,desserts,No,Na,Ovo-Vegetarians(Egg + Veg),No,,"South Indian
Chinese
Italian",spicy,0,desserts - SpicyÊ
35-44,Woman,South India,Summer,rainy - soups summers - salads winter - chopsuey,Happy,cakes ice creams soups,No,,Non-Vegetarian,No,,"Chinese, Italian, South Indian ",spicy,0,cakes ice creams soups - SpicyÊ
25-34,Woman,East India,Winter,winter - grilled chicken,Relaxed,chicken pop corn,No,,Non-Vegetarian,No,,Indian ,medium spicy,0,chicken pop corn - Medium-spicy
35-44,Woman,South India,Winter,dosa,Happy,samosa,No,.no,Vegetarian,Yes,Fish,South Indian ,spicy,0,samosa - SpicyÊ
18-24,Woman,North India,Rainy,rainy - chai and pakodas summer - sandwich winter - jalebi/brownie/gulab jamun,Stressed,brownies,No,,Non-Vegetarian,Yes,Fish Smell,Pastas/Pizzas/,medium spicy,0,brownies - Medium-spicy
25-34,Man,South India,Summer,biriyani,Relaxed,relaxed non veg meals and dessert,Yes,Ladies finger ,Vegetarian,No,Dry fish ,"Indian, Italian, European ",spicy,1,relaxed non veg meals and dessert - SpicyÊ
25-34,Woman,South India,Winter,roti and maggi,Stressed,cake,No,,Vegetarian,Yes,"Fish, sea food ","North Indian, continental, American fast food ",medium spicy,0,cake - Medium-spicy
25-34,Man,West India,No Preference;,"rainy season - fritters, roasted corn cob winter - hot soups",Relaxed,chicken curry rice,No,,Non-Vegetarian,No,,"North Indian,
Indo Chinese,
Maharastrian",spicy,0,chicken curry rice - SpicyÊ
45-54,Man,East India,Winter;,hot sambar rice,Relaxed,south indian food,No,,Vegetarian,Yes,Raw meat smell ,"Pav Bhaji , South Indian meals , Parata with kuruma",mild,0,south indian food - Mild
25-34,Woman,South India,Winter,winter - biriyani,Happy,happy chocolate,No,,Vegetarian,No,,"Biriyani
Curd rice
Parupu saadham",spicy,0,happy chocolate - SpicyÊ
55-64,Man,South India,Rainy;,rainy season hot spicy like bonda or bajji,Happy,happy hot coffee,No,,Vegetarian,No,Non veg ,Curd rice chapathi and dosa ,medium spicy,0,happy hot coffee - Medium-spicy
25-34,Woman,South India,Winter;,rainy ice cream,Stressed,stress chocolate,No,,Vegetarian,No,,Chinese South Indian and north indian ,spicy,0,stress chocolate - SpicyÊ
45-54,Man,South India,Summer,"rainy - onion bujji, mysore bonds and kutty samosa",Relaxed,mushroom fried rice baby corn,No,No,Vegetarian,No,Nothing ,South Indian ,medium spicy,0,mushroom fried rice baby corn - Medium-spicy
35-44,Man,East India,Winter;,all time favourite chicken biryani,Happy,happy chicken biryani,No,,Vegan,No,,Non veg Indian ,mild,0,happy chicken biryani - Mild
25-34,Man,West India,No Preference;,anything,No Influence,anything,No,,Ovo-Vegetarians(Egg + Veg),Yes,Dry fish,Anything ,spicy,0,anything - SpicyÊ
